2019-03-02 02:02:56,254 [D] |:F:n:WD_3:wc.c:29	(at logger.py:129) 
2019-03-02 02:02:56,254 [D] └:F:n:WD_3:wc.c:28	(at logger.py:129) 
2019-03-02 02:02:56,267 [D] -:F:n:WD_1:wc.c:29	(at logger.py:129) 
2019-03-02 02:02:56,279 [D] ┌:F:n:WD_2:wc.c:29	(at logger.py:129) 
2019-03-02 02:02:56,279 [D] └:F:n:WD_2:wc.c:28	(at logger.py:129) 
2019-03-02 02:02:56,289 [D] ┌:F:n:WD_3:wc.c:29	(at logger.py:129) 
2019-03-02 02:02:56,289 [D] |:F:n:WD_3:wc.c:28	(at logger.py:129) 
2019-03-02 02:02:56,289 [D] └:F:n:WD_3:wc.c:26	(at logger.py:129) 
2019-03-02 02:02:56,302 [D] -:F:n:WD_1:wc.c:28	(at logger.py:129) 
2019-03-02 02:02:56,314 [D] ┌:F:n:WD_2:wc.c:28	(at logger.py:129) 
2019-03-02 02:02:56,314 [D] └:F:n:WD_2:wc.c:26	(at logger.py:129) 
2019-03-02 02:02:56,326 [D] ┌:F:n:WD_3:wc.c:28	(at logger.py:129) 
2019-03-02 02:02:56,326 [D] |:F:n:WD_3:wc.c:26	(at logger.py:129) 
2019-03-02 02:02:56,326 [D] └:F:n:WD_3:wc.c:25	(at logger.py:129) 
2019-03-02 02:02:56,326 [D]  : : :pass:wc.c:27	(at logger.py:129) 
2019-03-02 02:02:56,374 [D] -:C:n:WD_1:wc.c:26	(at logger.py:129) 
2019-03-02 02:02:56,421 [D] ┌:C:n:WD_2:wc.c:26	(at logger.py:129) 
2019-03-02 02:02:56,421 [D] └:C:n:WD_2:wc.c:25	(at logger.py:129) 
2019-03-02 02:02:56,435 [D] ┌:F:n:WD_3:wc.c:26	(at logger.py:129) 
2019-03-02 02:02:56,435 [D] |:F:n:WD_3:wc.c:25	(at logger.py:129) 
2019-03-02 02:02:56,435 [D] └:F:n:WD_3:wc.c:23	(at logger.py:129) 
2019-03-02 02:02:56,484 [D] -:C:n:WD_1:wc.c:25	(at logger.py:129) 
2019-03-02 02:02:56,499 [D] ┌:F:n:WD_2:wc.c:25	(at logger.py:129) 
2019-03-02 02:02:56,499 [D] └:F:n:WD_2:wc.c:23	(at logger.py:129) 
2019-03-02 02:02:56,510 [D] ┌:F:n:WD_3:wc.c:25	(at logger.py:129) 
2019-03-02 02:02:56,510 [D] |:F:n:WD_3:wc.c:23	(at logger.py:129) 
2019-03-02 02:02:56,510 [D] └:F:n:WD_3:wc.c:22	(at logger.py:129) 
2019-03-02 02:02:56,510 [D]  : : :pass:wc.c:24	(at logger.py:129) 
2019-03-02 02:02:56,522 [D] -:F:n:WD_1:wc.c:23	(at logger.py:129) 
2019-03-02 02:02:56,535 [D] ┌:F:n:WD_2:wc.c:23	(at logger.py:129) 
2019-03-02 02:02:56,535 [D] └:F:n:WD_2:wc.c:22	(at logger.py:129) 
2019-03-02 02:02:56,548 [D] ┌:F:n:WD_3:wc.c:23	(at logger.py:129) 
2019-03-02 02:02:56,548 [D] |:F:n:WD_3:wc.c:22	(at logger.py:129) 
2019-03-02 02:02:56,548 [D] └:F:n:WD_3:wc.c:21	(at logger.py:129) 
2019-03-02 02:02:56,594 [D] -:C:n:WD_1:wc.c:22	(at logger.py:129) 
2019-03-02 02:02:56,604 [D] ┌:F:n:WD_2:wc.c:22	(at logger.py:129) 
2019-03-02 02:02:56,604 [D] └:F:n:WD_2:wc.c:21	(at logger.py:129) 
2019-03-02 02:02:56,617 [D] ┌:F:n:WD_3:wc.c:22	(at logger.py:129) 
2019-03-02 02:02:56,618 [D] |:F:n:WD_3:wc.c:21	(at logger.py:129) 
2019-03-02 02:02:56,618 [D] └:F:n:WD_3:wc.c:20	(at logger.py:129) 
2019-03-02 02:02:56,629 [D] -:F:n:WD_1:wc.c:21	(at logger.py:129) 
2019-03-02 02:02:56,639 [D] ┌:F:n:WD_2:wc.c:21	(at logger.py:129) 
2019-03-02 02:02:56,639 [D] └:F:n:WD_2:wc.c:20	(at logger.py:129) 
2019-03-02 02:02:56,651 [D] ┌:F:n:WD_3:wc.c:21	(at logger.py:129) 
2019-03-02 02:02:56,651 [D] |:F:n:WD_3:wc.c:20	(at logger.py:129) 
2019-03-02 02:02:56,651 [D] └:F:n:WD_3:wc.c:19	(at logger.py:129) 
2019-03-02 02:02:56,664 [D] -:F:n:WD_1:wc.c:20	(at logger.py:129) 
2019-03-02 02:02:56,678 [D] ┌:F:n:WD_2:wc.c:20	(at logger.py:129) 
2019-03-02 02:02:56,678 [D] └:F:n:WD_2:wc.c:19	(at logger.py:129) 
2019-03-02 02:02:56,678 [D] ┌:F:n:WD_3:wc.c:20	(at logger.py:129) 
2019-03-02 02:02:56,678 [D] |:F:n:WD_3:wc.c:19	(at logger.py:129) 
2019-03-02 02:02:56,678 [D] └:F:n:WD_3:wc.c:17	(at logger.py:129) 
2019-03-02 02:02:56,689 [D] -:F:n:WD_1:wc.c:19	(at logger.py:129) 
2019-03-02 02:02:56,724 [D] ┌:P:c:WD_2:wc.c:19	(at logger.py:129) 
2019-03-02 02:02:56,724 [D] └:P:c:WD_2:wc.c:17	(at logger.py:129) 
2019-03-02 02:02:56,724 [D]  : : :pass:wc.c:18	(at logger.py:129) 
2019-03-02 02:02:56,724 [D]  : : :pass:wc.c:17	(at logger.py:129) 
2019-03-02 02:02:56,724 [D]  : : :pass:wc.c:16	(at logger.py:129) 
2019-03-02 02:02:56,724 [D]  : : :pass:wc.c:15	(at logger.py:129) 
2019-03-02 02:02:56,736 [D] -:F:n:WD_1:wc.c:14	(at logger.py:129) 
2019-03-02 02:02:56,747 [D] ┌:F:n:WD_2:wc.c:14	(at logger.py:129) 
2019-03-02 02:02:56,747 [D] └:F:n:WD_2:wc.c:13	(at logger.py:129) 
2019-03-02 02:02:56,757 [D] ┌:F:n:WD_3:wc.c:14	(at logger.py:129) 
2019-03-02 02:02:56,757 [D] |:F:n:WD_3:wc.c:13	(at logger.py:129) 
2019-03-02 02:02:56,757 [D] └:F:n:WD_3:wc.c:11	(at logger.py:129) 
2019-03-02 02:02:56,803 [D] -:C:n:WD_1:wc.c:13	(at logger.py:129) 
2019-03-02 02:02:56,853 [D] ┌:C:n:WD_2:wc.c:13	(at logger.py:129) 
2019-03-02 02:02:56,853 [D] └:C:n:WD_2:wc.c:11	(at logger.py:129) 
2019-03-02 02:02:56,864 [D] ┌:F:n:WD_3:wc.c:13	(at logger.py:129) 
2019-03-02 02:02:56,864 [D] |:F:n:WD_3:wc.c:11	(at logger.py:129) 
2019-03-02 02:02:56,864 [D] └:F:n:WD_3:wc.c:9	(at logger.py:129) 
2019-03-02 02:02:56,865 [D]  : : :pass:wc.c:12	(at logger.py:129) 
2019-03-02 02:02:56,906 [D] -:C:n:WD_1:wc.c:11	(at logger.py:129) 
2019-03-02 02:02:56,918 [D] ┌:F:n:WD_2:wc.c:11	(at logger.py:129) 
2019-03-02 02:02:56,918 [D] └:F:n:WD_2:wc.c:9	(at logger.py:129) 
2019-03-02 02:02:56,929 [D] ┌:F:n:WD_3:wc.c:11	(at logger.py:129) 
2019-03-02 02:02:56,929 [D] |:F:n:WD_3:wc.c:9	(at logger.py:129) 
2019-03-02 02:02:56,929 [D] └:F:n:WD_3:wc.c:7	(at logger.py:129) 
2019-03-02 02:02:56,929 [D]  : : :pass:wc.c:10	(at logger.py:129) 
2019-03-02 02:02:56,939 [D] -:F:n:WD_1:wc.c:9	(at logger.py:129) 
