2019-03-02 01:40:40,373 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]	(at main.py:61) 
2019-03-02 01:40:40,548 [I] Response: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]	(at main.py:64) 
2019-03-02 01:40:40,548 [I] Iter idx: 23, Qsize: 76	(at main.py:59) 
2019-03-02 01:40:40,549 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]	(at main.py:61) 
2019-03-02 01:40:40,730 [I] Response: [True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False, True, True]	(at main.py:64) 
2019-03-02 01:40:40,731 [I] Iter idx: 24, Qsize: 75	(at main.py:59) 
2019-03-02 01:40:40,731 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1]	(at main.py:61) 
2019-03-02 01:40:40,945 [I] Response: [True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 01:40:40,945 [I] Iter idx: 25, Qsize: 74	(at main.py:59) 
2019-03-02 01:40:40,945 [I] Curr factor: [0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1]	(at main.py:61) 
2019-03-02 01:40:41,140 [I] Response: [True, True, True, True, True, True, False, False, True, False, False, True, False, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 01:40:41,141 [I] Iter idx: 26, Qsize: 73	(at main.py:59) 
2019-03-02 01:40:41,141 [I] Curr factor: [0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:40:41,371 [I] Response: [True, True, True, True, True, True, False, False, True, False, False, True, False, False, False, False, True, True, True]	(at main.py:64) 
2019-03-02 01:40:41,372 [I] Iter idx: 27, Qsize: 72	(at main.py:59) 
2019-03-02 01:40:41,372 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:40:41,581 [I] Response: [True, True, True, True, True, True, True, True, True, False, False, True, True, True, True, True, True, True, True]	(at main.py:64) 
2019-03-02 01:40:41,581 [I] Iter idx: 28, Qsize: 71	(at main.py:59) 
2019-03-02 01:40:41,582 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:40:41,716 [I] Response: [True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, True, True, True]	(at main.py:64) 
2019-03-02 01:40:41,717 [I] Iter idx: 29, Qsize: 70	(at main.py:59) 
2019-03-02 01:40:41,717 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:40:41,895 [I] Response: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]	(at main.py:64) 
2019-03-02 01:40:41,895 [I] Iter idx: 30, Qsize: 69	(at main.py:59) 
2019-03-02 01:40:41,895 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:40:42,145 [I] Response: [True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, True, True, True]	(at main.py:64) 
2019-03-02 01:40:42,146 [I] Iter idx: 31, Qsize: 68	(at main.py:59) 
2019-03-02 01:40:42,146 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:40:42,321 [I] Response: [True, True, True, True, True, True, True, True, True, False, False, True, False, False, False, False, True, True, True]	(at main.py:64) 
2019-03-02 01:40:42,322 [I] Iter idx: 32, Qsize: 67	(at main.py:59) 
2019-03-02 01:40:42,322 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:40:42,497 [I] Response: [True, True, True, True, True, True, True, True, True, False, False, True, False, False, False, False, True, True, True]	(at main.py:64) 
2019-03-02 01:40:42,497 [I] Iter idx: 33, Qsize: 66	(at main.py:59) 
2019-03-02 01:40:42,497 [I] Curr factor: [1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:40:42,664 [I] Response: [True, True, False, True, False, True, False, False, True, True, True, True, True, False, False, True, True, True, True]	(at main.py:64) 
2019-03-02 01:40:42,665 [I] Iter idx: 34, Qsize: 65	(at main.py:59) 
2019-03-02 01:40:42,665 [I] Curr factor: [0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:40:42,990 [I] Response: [True, True, True, True, True, True, True, True, True, False, False, True, False, False, False, False, False, True, True]	(at main.py:64) 
2019-03-02 01:40:42,991 [I] Iter idx: 35, Qsize: 64	(at main.py:59) 
2019-03-02 01:40:42,991 [I] Curr factor: [1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]	(at main.py:61) 
2019-03-02 01:40:43,168 [I] Response: [True, True, True, True, False, True, True, True, True, False, False, True, True, False, False, True, True, True, True]	(at main.py:64) 
2019-03-02 01:40:43,168 [I] Iter idx: 36, Qsize: 63	(at main.py:59) 
2019-03-02 01:40:43,168 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]	(at main.py:61) 
2019-03-02 01:40:43,369 [I] Response: [True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False, True, True]	(at main.py:64) 
2019-03-02 01:40:43,369 [I] Iter idx: 37, Qsize: 62	(at main.py:59) 
2019-03-02 01:40:43,369 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]	(at main.py:61) 
