2019-03-02 02:03:07,094 [D] -:F:n:WD_1:wc.c:48	(at logger.py:129) 
2019-03-02 02:03:07,733 [D]  : : :pass:wc.c:10	(at logger.py:129) 
2019-03-02 02:03:07,746 [D] -:F:n:WD_1:wc.c:9	(at logger.py:129) 
2019-03-02 02:03:07,759 [D] ┌:F:n:WD_2:wc.c:9	(at logger.py:129) 
2019-03-02 02:03:07,759 [D] └:F:n:WD_2:wc.c:4	(at logger.py:129) 
2019-03-02 02:03:07,772 [D] ┌:F:n:WD_3:wc.c:9	(at logger.py:129) 
2019-03-02 02:03:07,772 [D] |:F:n:WD_3:wc.c:4	(at logger.py:129) 
2019-03-02 02:03:07,772 [D] └:F:n:WD_3:wc.c:3	(at logger.py:129) 
2019-03-02 02:03:07,772 [D]  : : :pass:wc.c:8	(at logger.py:129) 
2019-03-02 02:03:07,772 [D]  : : :pass:wc.c:7	(at logger.py:129) 
2019-03-02 02:03:07,772 [D]  : : :pass:wc.c:6	(at logger.py:129) 
2019-03-02 02:03:07,772 [D]  : : :pass:wc.c:5	(at logger.py:129) 
2019-03-02 02:03:07,783 [D] -:F:n:WD_1:wc.c:4	(at logger.py:129) 
2019-03-02 02:03:07,795 [D] ┌:F:n:WD_2:wc.c:4	(at logger.py:129) 
2019-03-02 02:03:07,795 [D] └:F:n:WD_2:wc.c:3	(at logger.py:129) 
2019-03-02 02:03:07,807 [D] ┌:F:n:WD_3:wc.c:4	(at logger.py:129) 
2019-03-02 02:03:07,807 [D] |:F:n:WD_3:wc.c:3	(at logger.py:129) 
2019-03-02 02:03:07,807 [D] └:F:n:WD_3:wc.c:2	(at logger.py:129) 
2019-03-02 02:03:07,817 [D] -:F:n:WD_1:wc.c:3	(at logger.py:129) 
2019-03-02 02:03:07,829 [D] ┌:F:n:WD_2:wc.c:3	(at logger.py:129) 
2019-03-02 02:03:07,829 [D] └:F:n:WD_2:wc.c:2	(at logger.py:129) 
2019-03-02 02:03:07,830 [D] ┌:F:n:WD_3:wc.c:3	(at logger.py:129) 
2019-03-02 02:03:07,830 [D] └:F:n:WD_3:wc.c:2	(at logger.py:129) 
2019-03-02 02:03:07,843 [D] -:F:n:WD_1:wc.c:2	(at logger.py:129) 
2019-03-02 02:03:07,843 [D] -:F:n:WD_2:wc.c:2	(at logger.py:129) 
2019-03-02 02:03:07,843 [D] -:F:n:WD_3:wc.c:2	(at logger.py:129) 
2019-03-02 02:03:07,843 [D]  : : :pass:wc.c:1	(at logger.py:129) 
2019-03-02 02:03:07,843 [D] comp_cached_cnt:4	(at logger.py:134) 
2019-03-02 02:03:07,844 [D] compile_cnt:47	(at logger.py:134) 
2019-03-02 02:03:07,844 [D] execute_cnt:3	(at logger.py:134) 
2019-03-02 02:03:07,844 [D] fail_del_cnt:5	(at logger.py:134) 
2019-03-02 02:03:07,844 [D] iter_idx:2	(at logger.py:134) 
2019-03-02 02:03:07,844 [D] reuse_cnt:5	(at logger.py:134) 
2019-03-02 02:03:07,844 [D] succ_del_cnt:3	(at logger.py:134) 
2019-03-02 02:03:07,844 [D] time:0.7630326747894287	(at logger.py:134) 
2019-03-02 02:03:07,844 [D] deletion:33	(at logger.py:136) 
