2019-02-12 22:37:00,803 [D] |:F:n:WD_3:mbe.c:59	(at logger.py:129) 
2019-02-12 22:37:00,803 [D] └:F:n:WD_3:mbe.c:58	(at logger.py:129) 
2019-02-12 22:37:00,823 [D] -:F:n:WD_1:mbe.c:59	(at logger.py:129) 
2019-02-12 22:37:00,841 [D] ┌:F:n:WD_2:mbe.c:59	(at logger.py:129) 
2019-02-12 22:37:00,841 [D] └:F:n:WD_2:mbe.c:58	(at logger.py:129) 
2019-02-12 22:37:00,857 [D] ┌:F:n:WD_3:mbe.c:59	(at logger.py:129) 
2019-02-12 22:37:00,857 [D] |:F:n:WD_3:mbe.c:58	(at logger.py:129) 
2019-02-12 22:37:00,857 [D] └:F:n:WD_3:mbe.c:57	(at logger.py:129) 
2019-02-12 22:37:00,897 [D] -:P:c:WD_1:mbe.c:58	(at logger.py:129) 
2019-02-12 22:37:00,915 [D] -:F:n:WD_1:mbe.c:57	(at logger.py:129) 
2019-02-12 22:37:00,933 [D] ┌:F:n:WD_2:mbe.c:57	(at logger.py:129) 
2019-02-12 22:37:00,933 [D] └:F:n:WD_2:mbe.c:56	(at logger.py:129) 
2019-02-12 22:37:00,950 [D] ┌:F:n:WD_3:mbe.c:57	(at logger.py:129) 
2019-02-12 22:37:00,950 [D] |:F:n:WD_3:mbe.c:56	(at logger.py:129) 
2019-02-12 22:37:00,950 [D] └:F:n:WD_3:mbe.c:55	(at logger.py:129) 
2019-02-12 22:37:01,998 [D] -:C:n:WD_1:mbe.c:56	(at logger.py:129) 
2019-02-12 22:37:02,034 [D] ┌:C:c:WD_2:mbe.c:56	(at logger.py:129) 
2019-02-12 22:37:02,034 [D] └:C:c:WD_2:mbe.c:55	(at logger.py:129) 
2019-02-12 22:37:02,049 [D] ┌:F:n:WD_3:mbe.c:56	(at logger.py:129) 
2019-02-12 22:37:02,049 [D] |:F:n:WD_3:mbe.c:55	(at logger.py:129) 
2019-02-12 22:37:02,049 [D] └:F:n:WD_3:mbe.c:54	(at logger.py:129) 
2019-02-12 22:37:02,086 [D] -:P:c:WD_1:mbe.c:55	(at logger.py:129) 
2019-02-12 22:37:02,105 [D] -:F:n:WD_1:mbe.c:54	(at logger.py:129) 
2019-02-12 22:37:02,122 [D] ┌:F:n:WD_2:mbe.c:54	(at logger.py:129) 
2019-02-12 22:37:02,122 [D] └:F:n:WD_2:mbe.c:53	(at logger.py:129) 
2019-02-12 22:37:02,174 [D] ┌:C:n:WD_3:mbe.c:54	(at logger.py:129) 
2019-02-12 22:37:02,174 [D] |:C:n:WD_3:mbe.c:53	(at logger.py:129) 
