2019-01-23 05:35:15,479 [I] Response: [True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]	(at main.py:56) 
2019-01-23 05:35:15,479 [I] Iter idx: 46, Qsize: 53	(at main.py:51) 
2019-01-23 05:35:15,479 [I] Curr factor: [0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]	(at main.py:53) 
2019-01-23 05:35:15,578 [I] Response: [True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]	(at main.py:56) 
2019-01-23 05:35:15,578 [I] Iter idx: 47, Qsize: 52	(at main.py:51) 
2019-01-23 05:35:15,579 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	(at main.py:53) 
2019-01-23 05:35:15,689 [I] Response: [True, True, False, False, False, False, False, False, True, True, True, False, False, False, False, True]	(at main.py:56) 
2019-01-23 05:35:15,689 [I] Iter idx: 48, Qsize: 51	(at main.py:51) 
2019-01-23 05:35:15,689 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]	(at main.py:53) 
2019-01-23 05:35:16,020 [I] Response: [True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]	(at main.py:56) 
2019-01-23 05:35:16,020 [I] Iter idx: 49, Qsize: 50	(at main.py:51) 
2019-01-23 05:35:16,020 [I] Curr factor: [0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]	(at main.py:53) 
2019-01-23 05:35:16,351 [I] Response: [True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]	(at main.py:56) 
2019-01-23 05:35:16,351 [I] Iter idx: 50, Qsize: 49	(at main.py:51) 
2019-01-23 05:35:16,352 [I] Curr factor: [1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	(at main.py:53) 
2019-01-23 05:35:16,453 [I] Response: [True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]	(at main.py:56) 
2019-01-23 05:35:16,453 [I] Iter idx: 51, Qsize: 48	(at main.py:51) 
2019-01-23 05:35:16,453 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]	(at main.py:53) 
2019-01-23 05:35:16,801 [I] Response: [True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]	(at main.py:56) 
2019-01-23 05:35:16,802 [I] Iter idx: 52, Qsize: 47	(at main.py:51) 
2019-01-23 05:35:16,802 [I] Curr factor: [0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]	(at main.py:53) 
2019-01-23 05:35:16,907 [I] Response: [True, True, False, False, False, False, False, False, True, True, True, False, False, False, False, True]	(at main.py:56) 
