2019-03-02 02:02:45,894 [D] └:F:n:WD_3:wc.c:39	(at logger.py:129) 
2019-03-02 02:02:45,908 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/wc/13/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:02:45,908 [D] -:F:n:WD_1:wc.c:40	(at logger.py:129) 
2019-03-02 02:02:46,007 [D] ┌:C:n:WD_2:wc.c:40	(at logger.py:129) 
2019-03-02 02:02:46,007 [D] └:C:n:WD_2:wc.c:39	(at logger.py:129) 
2019-03-02 02:02:46,057 [D] ┌:C:n:WD_3:wc.c:40	(at logger.py:129) 
2019-03-02 02:02:46,057 [D] |:C:n:WD_3:wc.c:39	(at logger.py:129) 
2019-03-02 02:02:46,057 [D] └:C:n:WD_3:wc.c:38	(at logger.py:129) 
2019-03-02 02:02:46,072 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/wc/13/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:02:46,072 [D] -:F:n:WD_1:wc.c:39	(at logger.py:129) 
2019-03-02 02:02:46,085 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/wc/13/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:02:46,085 [D] ┌:F:n:WD_2:wc.c:39	(at logger.py:129) 
2019-03-02 02:02:46,086 [D] └:F:n:WD_2:wc.c:38	(at logger.py:129) 
2019-03-02 02:02:46,099 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/wc/13/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:02:46,099 [D] ┌:F:n:WD_3:wc.c:39	(at logger.py:129) 
2019-03-02 02:02:46,099 [D] |:F:n:WD_3:wc.c:38	(at logger.py:129) 
2019-03-02 02:02:46,099 [D] └:F:n:WD_3:wc.c:37	(at logger.py:129) 
2019-03-02 02:02:46,147 [D] -:P:n:WD_1:wc.c:38	(at logger.py:129) 
2019-03-02 02:02:46,161 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/wc/13/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:02:46,162 [D] -:F:n:WD_1:wc.c:37	(at logger.py:129) 
2019-03-02 02:02:46,175 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/wc/13/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:02:46,176 [D] ┌:F:n:WD_2:wc.c:37	(at logger.py:129) 
2019-03-02 02:02:46,176 [D] └:F:n:WD_2:wc.c:36	(at logger.py:129) 
2019-03-02 02:02:46,207 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/wc/13/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:02:46,207 [D] ┌:F:n:WD_3:wc.c:37	(at logger.py:129) 
2019-03-02 02:02:46,208 [D] |:F:n:WD_3:wc.c:36	(at logger.py:129) 
2019-03-02 02:02:46,208 [D] └:F:n:WD_3:wc.c:35	(at logger.py:129) 
2019-03-02 02:02:46,221 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/wc/13/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:02:46,221 [D] -:F:n:WD_1:wc.c:36	(at logger.py:129) 
2019-03-02 02:02:46,234 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/wc/13/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:02:46,234 [D] ┌:F:n:WD_2:wc.c:36	(at logger.py:129) 
2019-03-02 02:02:46,234 [D] └:F:n:WD_2:wc.c:35	(at logger.py:129) 
2019-03-02 02:02:46,247 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/wc/13/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:02:46,247 [D] ┌:F:n:WD_3:wc.c:36	(at logger.py:129) 
