2019-03-02 01:39:54,214 [I] Initial factor queue size: 185	(at doe_manager.py:29) 
2019-03-02 01:39:58,500 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]	(at main.py:61) 
2019-03-02 01:39:58,723 [I] Response: [True, True, True, True, True, True, True, True, True, False, False, True, False, False, False, False, False, True, True]	(at main.py:64) 
2019-03-02 01:39:58,724 [I] Iter idx: 24, Qsize: 160	(at main.py:59) 
2019-03-02 01:39:58,724 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0]	(at main.py:61) 
2019-03-02 01:39:58,931 [I] Response: [True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, True, True, True]	(at main.py:64) 
2019-03-02 01:39:58,931 [I] Iter idx: 25, Qsize: 159	(at main.py:59) 
2019-03-02 01:39:58,931 [I] Curr factor: [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:39:59,144 [I] Response: [True, True, False, True, True, True, False, False, True, True, True, True, False, False, False, False, True, True, True]	(at main.py:64) 
2019-03-02 01:39:59,145 [I] Iter idx: 26, Qsize: 158	(at main.py:59) 
2019-03-02 01:39:59,145 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:39:59,319 [I] Response: [True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False, True, True]	(at main.py:64) 
2019-03-02 01:39:59,319 [I] Iter idx: 27, Qsize: 157	(at main.py:59) 
2019-03-02 01:39:59,319 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1]	(at main.py:61) 
2019-03-02 01:39:59,496 [I] Response: [True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False, True, True]	(at main.py:64) 
2019-03-02 01:39:59,496 [I] Iter idx: 28, Qsize: 156	(at main.py:59) 
2019-03-02 01:39:59,496 [I] Curr factor: [0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:39:59,702 [I] Response: [True, True, True, True, True, True, False, False, True, False, False, True, True, True, True, True, True, True, True]	(at main.py:64) 
2019-03-02 01:39:59,702 [I] Iter idx: 29, Qsize: 155	(at main.py:59) 
2019-03-02 01:39:59,702 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1]	(at main.py:61) 
2019-03-02 01:39:59,883 [I] Response: [True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 01:39:59,884 [I] Iter idx: 30, Qsize: 154	(at main.py:59) 
2019-03-02 01:39:59,884 [I] Curr factor: [0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:40:00,071 [I] Response: [True, True, True, False, True, True, True, True, True, True, True, True, False, False, False, False, True, True, True]	(at main.py:64) 
2019-03-02 01:40:00,071 [I] Iter idx: 31, Qsize: 153	(at main.py:59) 
2019-03-02 01:40:00,072 [I] Curr factor: [0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:40:00,250 [I] Response: [True, True, True, True, False, True, True, True, True, False, False, True, True, False, False, True, True, True, True]	(at main.py:64) 
2019-03-02 01:40:00,251 [I] Iter idx: 32, Qsize: 152	(at main.py:59) 
2019-03-02 01:40:00,251 [I] Curr factor: [0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:40:00,436 [I] Response: [True, True, True, True, True, True, True, True, True, False, False, True, False, False, False, False, False, True, True]	(at main.py:64) 
2019-03-02 01:40:00,437 [I] Iter idx: 33, Qsize: 151	(at main.py:59) 
2019-03-02 01:40:00,437 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]	(at main.py:61) 
2019-03-02 01:40:00,626 [I] Response: [True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False, True, True]	(at main.py:64) 
2019-03-02 01:40:00,627 [I] Iter idx: 34, Qsize: 150	(at main.py:59) 
2019-03-02 01:40:00,627 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:40:00,815 [I] Response: [True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False, True, True]	(at main.py:64) 
2019-03-02 01:40:00,816 [I] Iter idx: 35, Qsize: 149	(at main.py:59) 
2019-03-02 01:40:00,816 [I] Curr factor: [1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:40:00,988 [I] Response: [True, True, False, True, True, True, False, False, True, False, False, True, True, True, True, True, True, True, True]	(at main.py:64) 
2019-03-02 01:40:00,988 [I] Iter idx: 36, Qsize: 148	(at main.py:59) 
2019-03-02 01:40:00,988 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:40:01,180 [I] Response: [True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False, True, True]	(at main.py:64) 
2019-03-02 01:40:01,181 [I] Iter idx: 37, Qsize: 147	(at main.py:59) 
2019-03-02 01:40:01,181 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1]	(at main.py:61) 
2019-03-02 01:40:01,384 [I] Response: [True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False, True, True]	(at main.py:64) 
2019-03-02 01:40:01,385 [I] Iter idx: 38, Qsize: 146	(at main.py:59) 
