2019-03-02 02:26:39,556 [I] Iter idx: 29, Qsize: 70	(at main.py:59) 
2019-03-02 02:26:39,556 [I] Curr factor: [1, 0, 0, 0, 0, 0, 0, 1, 0]	(at main.py:61) 
2019-03-02 02:26:39,925 [I] Response: [True, True, False, True, True, False, False, False, True, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 02:26:39,925 [I] Iter idx: 30, Qsize: 69	(at main.py:59) 
2019-03-02 02:26:39,925 [I] Curr factor: [0, 0, 1, 1, 1, 1, 0, 0, 0]	(at main.py:61) 
2019-03-02 02:26:40,761 [I] Response: [True, False, True, True, True, False, False, False, False, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 02:26:40,761 [I] Iter idx: 31, Qsize: 68	(at main.py:59) 
2019-03-02 02:26:40,761 [I] Curr factor: [0, 1, 0, 0, 1, 1, 0, 0, 0]	(at main.py:61) 
2019-03-02 02:26:41,607 [I] Response: [True, False, True, False, True, False, False, False, False, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 02:26:41,607 [I] Iter idx: 32, Qsize: 67	(at main.py:59) 
2019-03-02 02:26:41,607 [I] Curr factor: [0, 0, 0, 1, 0, 0, 0, 1, 0]	(at main.py:61) 
2019-03-02 02:26:41,948 [I] Response: [True, True, True, True, True, True, True, False, True, True, True, False, True, True, True]	(at main.py:64) 
2019-03-02 02:26:41,948 [I] Iter idx: 33, Qsize: 66	(at main.py:59) 
2019-03-02 02:26:41,948 [I] Curr factor: [0, 1, 0, 1, 0, 1, 0, 0, 0]	(at main.py:61) 
2019-03-02 02:26:42,207 [I] Response: [True, True, True, False, True, True, False, False, False, True, True, False, True, False, True]	(at main.py:64) 
2019-03-02 02:26:42,208 [I] Iter idx: 34, Qsize: 65	(at main.py:59) 
2019-03-02 02:26:42,208 [I] Curr factor: [0, 1, 1, 0, 0, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 02:26:42,332 [I] Response: [True, True, True, False, True, True, False, False, False, True, True, False, True, False, True]	(at main.py:64) 
2019-03-02 02:26:42,333 [I] Iter idx: 35, Qsize: 64	(at main.py:59) 
2019-03-02 02:26:42,333 [I] Curr factor: [1, 0, 0, 0, 0, 0, 0, 0, 1]	(at main.py:61) 
2019-03-02 02:26:42,700 [I] Response: [True, True, False, True, True, False, False, True, False, False, False, True, False, False, False]	(at main.py:64) 
2019-03-02 02:26:42,700 [I] Iter idx: 36, Qsize: 63	(at main.py:59) 
2019-03-02 02:26:42,700 [I] Curr factor: [0, 0, 0, 0, 1, 0, 0, 1, 0]	(at main.py:61) 
2019-03-02 02:26:43,500 [I] Response: [True, False, True, True, True, False, False, False, True, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 02:26:43,500 [I] Iter idx: 37, Qsize: 62	(at main.py:59) 
2019-03-02 02:26:43,501 [I] Curr factor: [0, 0, 0, 1, 1, 1, 0, 0, 0]	(at main.py:61) 
2019-03-02 02:26:44,555 [I] Response: [True, False, True, True, True, False, False, False, False, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 02:26:44,555 [I] Iter idx: 38, Qsize: 61	(at main.py:59) 
2019-03-02 02:26:44,555 [I] Curr factor: [0, 0, 0, 1, 1, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 02:26:45,470 [I] Response: [True, False, True, True, True, False, False, True, True, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 02:26:45,470 [I] Iter idx: 39, Qsize: 60	(at main.py:59) 
2019-03-02 02:26:45,470 [I] Curr factor: [0, 0, 1, 0, 0, 0, 1, 0, 0]	(at main.py:61) 
2019-03-02 02:26:46,117 [I] Response: [True, False, True, True, True, False, False, True, True, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 02:26:46,117 [I] Iter idx: 40, Qsize: 59	(at main.py:59) 
2019-03-02 02:26:46,117 [I] Curr factor: [1, 0, 0, 0, 0, 1, 0, 0, 0]	(at main.py:61) 
2019-03-02 02:26:46,706 [I] Response: [True, True, False, True, True, False, False, False, False, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 02:26:46,706 [I] Iter idx: 41, Qsize: 58	(at main.py:59) 
2019-03-02 02:26:46,706 [I] Curr factor: [1, 1, 0, 0, 0, 0, 0, 0, 1]	(at main.py:61) 
2019-03-02 02:26:47,397 [I] Response: [True, True, False, False, True, False, False, False, False, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 02:26:47,398 [I] Iter idx: 42, Qsize: 57	(at main.py:59) 
2019-03-02 02:26:47,398 [I] Curr factor: [0, 1, 0, 0, 0, 1, 0, 0, 0]	(at main.py:61) 
2019-03-02 02:26:47,762 [I] Response: [True, True, True, False, True, True, False, False, False, True, True, False, True, False, True]	(at main.py:64) 
2019-03-02 02:26:47,762 [I] Iter idx: 43, Qsize: 56	(at main.py:59) 
2019-03-02 02:26:47,762 [I] Curr factor: [0, 1, 0, 0, 0, 0, 1, 0, 1]	(at main.py:61) 
2019-03-02 02:26:48,722 [I] Response: [True, False, True, False, True, False, False, False, False, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 02:26:48,723 [I] Iter idx: 44, Qsize: 55	(at main.py:59) 
2019-03-02 02:26:48,723 [I] Curr factor: [0, 1, 0, 0, 0, 1, 0, 1, 1]	(at main.py:61) 
2019-03-02 02:26:49,307 [I] Response: [True, True, True, False, True, True, False, False, False, True, True, False, True, False, True]	(at main.py:64) 
