2019-03-02 02:25:50,103 [I] Initial factor queue size: 46	(at doe_manager.py:29) 
2019-03-02 02:26:02,575 [I] Curr factor: [0, 0, 0, 0, 0, 1, 1, 0, 0]	(at main.py:61) 
2019-03-02 02:26:03,172 [I] Response: [True, False, True, True, True, False, False, False, False, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 02:26:03,173 [I] Iter idx: 32, Qsize: 13	(at main.py:59) 
2019-03-02 02:26:03,173 [I] Curr factor: [0, 0, 1, 0, 0, 0, 0, 1, 0]	(at main.py:61) 
2019-03-02 02:26:03,270 [I] Response: [True, True, True, True, True, True, True, False, True, True, True, False, True, True, True]	(at main.py:64) 
2019-03-02 02:26:03,270 [I] Iter idx: 33, Qsize: 12	(at main.py:59) 
2019-03-02 02:26:03,270 [I] Curr factor: [1, 0, 1, 0, 0, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 02:26:03,671 [I] Response: [True, True, False, True, True, False, False, True, True, False, False, True, False, False, False]	(at main.py:64) 
2019-03-02 02:26:03,671 [I] Iter idx: 34, Qsize: 11	(at main.py:59) 
2019-03-02 02:26:03,671 [I] Curr factor: [0, 1, 0, 0, 0, 1, 0, 0, 0]	(at main.py:61) 
2019-03-02 02:26:03,770 [I] Response: [True, True, True, False, True, True, False, False, False, True, True, False, True, False, True]	(at main.py:64) 
2019-03-02 02:26:03,770 [I] Iter idx: 35, Qsize: 10	(at main.py:59) 
2019-03-02 02:26:03,770 [I] Curr factor: [0, 0, 0, 0, 0, 0, 1, 1, 0]	(at main.py:61) 
2019-03-02 02:26:04,310 [I] Response: [True, False, True, True, True, False, False, False, True, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 02:26:04,311 [I] Iter idx: 36, Qsize: 9	(at main.py:59) 
2019-03-02 02:26:04,311 [I] Curr factor: [1, 0, 0, 0, 0, 0, 0, 0, 1]	(at main.py:61) 
2019-03-02 02:26:04,681 [I] Response: [True, True, False, True, True, False, False, True, False, False, False, True, False, False, False]	(at main.py:64) 
2019-03-02 02:26:04,681 [I] Iter idx: 37, Qsize: 8	(at main.py:59) 
2019-03-02 02:26:04,681 [I] Curr factor: [1, 1, 0, 0, 0, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 02:26:05,053 [I] Response: [True, True, False, False, True, False, False, False, False, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 02:26:05,053 [I] Iter idx: 38, Qsize: 7	(at main.py:59) 
2019-03-02 02:26:05,053 [I] Curr factor: [0, 0, 0, 0, 1, 0, 0, 0, 1]	(at main.py:61) 
2019-03-02 02:26:05,896 [I] Response: [True, False, True, True, True, False, False, True, False, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 02:26:05,896 [I] Iter idx: 39, Qsize: 6	(at main.py:59) 
2019-03-02 02:26:05,896 [I] Curr factor: [0, 1, 0, 1, 0, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 02:26:05,994 [I] Response: [True, True, True, False, True, True, False, False, False, True, True, False, True, False, True]	(at main.py:64) 
2019-03-02 02:26:05,994 [I] Iter idx: 40, Qsize: 5	(at main.py:59) 
2019-03-02 02:26:05,994 [I] Curr factor: [0, 1, 0, 0, 0, 0, 0, 0, 1]	(at main.py:61) 
2019-03-02 02:26:06,099 [I] Response: [True, True, True, False, True, True, False, False, False, True, True, False, True, False, True]	(at main.py:64) 
2019-03-02 02:26:06,100 [I] Iter idx: 41, Qsize: 4	(at main.py:59) 
2019-03-02 02:26:06,100 [I] Curr factor: [0, 0, 0, 0, 1, 1, 0, 0, 0]	(at main.py:61) 
2019-03-02 02:26:06,938 [I] Response: [True, False, True, True, True, False, False, False, False, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 02:26:06,939 [I] Iter idx: 42, Qsize: 3	(at main.py:59) 
2019-03-02 02:26:06,939 [I] Curr factor: [0, 0, 0, 1, 0, 0, 0, 0, 1]	(at main.py:61) 
2019-03-02 02:26:07,047 [I] Response: [True, True, True, True, True, True, False, True, False, True, True, True, True, False, True]	(at main.py:64) 
2019-03-02 02:26:07,047 [I] Iter idx: 43, Qsize: 2	(at main.py:59) 
2019-03-02 02:26:07,047 [I] Curr factor: [0, 0, 0, 1, 0, 1, 0, 0, 0]	(at main.py:61) 
2019-03-02 02:26:07,149 [I] Response: [True, True, True, True, True, True, False, False, False, True, True, False, True, False, True]	(at main.py:64) 
2019-03-02 02:26:07,149 [I] Iter idx: 44, Qsize: 1	(at main.py:59) 
2019-03-02 02:26:07,149 [I] Curr factor: [0, 1, 0, 0, 1, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 02:26:07,952 [I] Response: [True, False, True, False, True, False, False, False, False, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 02:26:07,952 [I] Iter idx: 45, Qsize: 0	(at main.py:59) 
2019-03-02 02:26:07,952 [I] Curr factor: [0, 0, 0, 0, 0, 1, 0, 0, 1]	(at main.py:61) 
2019-03-02 02:26:08,050 [I] Response: [True, True, True, True, True, True, False, False, False, True, True, False, True, False, True]	(at main.py:64) 
2019-03-02 02:26:08,050 [I] End iteration. Save model.	(at main.py:70) 
2019-03-02 02:26:08,072 [I] Model saved. End program.	(at main.py:72) 
